year,fail,pass
1970,0,1
1971,5,0
1972,2,1
1973,4,1
1974,5,2
1975,5,0
1976,5,3
1977,5,2
1978,6,2
1979,3,2
1980,10,4
1981,8,1
1982,11,3
1983,3,2
1984,13,3
1985,6,4
1986,6,4
1987,12,2
1988,10,9
1989,10,4
1990,9,6
1991,7,6
1992,16,4
1993,8,8
1994,17,9
1995,18,18
1996,21,21
1997,23,28
1998,38,24
1999,33,23
2000,34,29
2001,31,33
2002,43,37
2003,30,34
2004,36,45
2005,46,54
2006,47,43
2007,32,41
2008,50,51
2009,82,42
2010,68,61
2011,71,53
2012,49,37
2013,53,46
